Date : 2025-03-03 12:40:45
Directory : c:\Users\Administrator\open-webui\backend
Total : 162 files,  113967 codes, 1776 comments, 6900 blanks, all 122643 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\bing.py                                            | Python           |         65 |          0 |          9 |         74 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\bocha.py                                           | Python           |         55 |          0 |         11 |         66 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\brave.py                                           | Python           |         34 |          0 |          9 |         43 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\duckduckgo.py                                      | Python           |         34 |          5 |          8 |         47 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\exa.py                                             | Python           |         63 |          0 |         14 |         77 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\google_pse.py                                      | Python           |         60 |          0 |         10 |         70 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\jina_search.py                                     | Python           |         38 |          0 |         11 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\kagi.py                                            | Python           |         37 |          0 |         12 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\main.py                                            | Python           |         20 |          0 |          7 |         27 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\mojeek.py                                          | Python           |         33 |          0 |          8 |         41 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\searchapi.py                                       | Python           |         38 |          0 |         11 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\searxng.py                                         | Python           |         72 |          3 |         17 |         92 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serpapi.py                                         | Python           |         38 |          0 |         11 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serper.py                                          | Python           |         35 |          0 |          9 |         44 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serply.py                                          | Python           |         58 |          0 |         12 |         70 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\serpstack.py                                       | Python           |         40 |          0 |          9 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\tavily.py                                          | Python           |         34 |          1 |         10 |         45 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\bing.json                                 | JSON             |         58 |          0 |          1 |         59 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\brave.json                                | JSON             |        998 |          0 |          1 |        999 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\google_pse.json                           | JSON             |        442 |          0 |          1 |        443 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\searchapi.json                            | JSON             |        357 |          0 |          1 |        358 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\searxng.json                              | JSON             |        476 |          0 |          1 |        477 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\serper.json                               | JSON             |        190 |          0 |          1 |        191 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\serply.json                               | JSON             |        206 |          0 |          1 |        207 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\testdata\serpstack.json                            | JSON             |        276 |          0 |          1 |        277 |
| c:\Users\Administrator\open-webui\backend\open_webui\retrieval\web\utils.py                                           | Python           |        459 |         13 |         67 |        539 |
| c:\Users\Administrator\open-webui\backend\open_webui\routers\audio.py                                                 | Python           |        663 |         27 |        139 |        829 |
