"filename", "language", "CSS", "Svelte", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "Shell Script", "Python", "Batch", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\Groups\Users.svelte", "Svelte", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 123
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList.svelte", "Svelte", 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 457
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList\AddUserModal.svelte", "Svelte", 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 347
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList\EditUserModal.svelte", "Svelte", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 178
"c:\Users\Administrator\open-webui\src\lib\components\admin\Users\UserList\UserChatsModal.svelte", "Svelte", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 189
"c:\Users\Administrator\open-webui\src\lib\components\app\AppSidebar.svelte", "Svelte", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 66
"c:\Users\Administrator\open-webui\src\lib\components\channel\Channel.svelte", "Svelte", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 303
"c:\Users\Administrator\open-webui\src\lib\components\channel\MessageInput.svelte", "Svelte", 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 602
"c:\Users\Administrator\open-webui\src\lib\components\channel\MessageInput\InputMenu.svelte", "Svelte", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78
"c:\Users\Administrator\open-webui\src\lib\components\channel\Messages.svelte", "Svelte", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 195
